company_id,company_name,country,city,year_founded,funding_stage,total_funding_usd,funding_rounds,valuation_usd,revenue_2024,revenue_2025,revenue_growth_yoy,primary_domain,product_type,deployment,is_open_source,employee_count,engineers_pct,founders_count,avg_experience_years,monthly_active_users,customer_count,enterprise_pct,churn_rate_annual,net_revenue_retention,burn_rate_monthly,runway_months,gross_margin_pct,target_segment,market_size_billion,competitor_count
AI-0001,AIStack,Netherlands,Rotterdam,2024,Seed,793453.6078719252,2,6083564.118235186,75990.02326130761,139961.010206885,0.8418340224163343,Decision/MLOps,SaaS,Cloud,True,15.0,50.713769260198475,1,22.7,9348,2,41.9,0.05,2.001,6105.080284871604,48.0,76.6,Developer/Individual,25.9,10
AI-0002,AISync,France,Lyon,2025,Series A,5249825.373746279,3,15050984.134040747,862401.9403326968,1484090.0644090283,0.7208797835455901,AI Agents,Platform,On-premise,True,46.0,62.54226487560153,3,26.9,182878,33,24.9,0.148,1.91,18976.130133212795,48.0,67.4,Both,41.3,33
AI-0003,AIGrid,United States,Austin,2020,Seed,724049.0400614241,2,5581172.49652412,196236.76630829298,218047.46772316933,0.11114482685987177,Decision/MLOps,SaaS,Edge,False,19.0,63.166858083729764,1,9.4,7393,5,28.0,0.147,1.596,5000.0,48.0,69.2,SMB,16.2,8
AI-0004,AIFlow,Germany,Berlin,2024,Series A,2375207.288849064,4,8005959.043014801,712562.1866547192,760018.6884868712,0.06659980380792743,AI Infrastructure,SaaS,Cloud,False,35.0,51.40131370007146,2,3.9,15233,18,46.7,0.148,1.763,33520.00599612634,48.0,89.9,SMB,113.6,16
AI-0005,AILink,Germany,Stuttgart,2023,Series A,8444303.806514883,3,46845030.544042915,311121.22142640135,426145.01856356347,0.3697073333982526,Speech/Audio,SaaS,Cloud,False,47.0,60.28347450519491,3,4.3,19169,18,66.9,0.039,1.67,11413.033868224396,48.0,91.6,Enterprise,12.7,24
AI-0006,AIGrid,United Kingdom,Manchester,2025,Seed,741900.7619259302,2,6222986.98661352,40690.67322471598,58219.437348439205,0.43078088256047947,Decision/MLOps,Hybrid,Cloud,False,4.0,42.31621151607454,3,3.4,7514,1,37.4,0.119,2.061,5000.0,48.0,83.0,SMB,23.4,54
AI-0007,AIStack,United States,Boston,2025,Series B,26024585.97486786,3,218449150.8215403,4088876.3179928316,4675886.185898743,0.1435626373247859,NLP/LLM,Platform,On-premise,False,49.0,70.45694446880944,2,3.2,34356,82,54.6,0.028,1.995,76532.10252880369,48.0,82.8,Both,192.1,157
AI-0008,AIGen,India,Delhi,2025,Bootstrapped,0.0,0,162778.72744026198,5304.568281330628,8686.01874277474,0.6374600687760191,Computer Vision,SaaS,On-premise,False,4.0,40.49464725609337,2,8.3,1997,0,78.1,0.026,2.034,12625.452603428386,,92.9,Enterprise,46.1,29
AI-0009,AIGen,United States,San Francisco,2025,Bootstrapped,0.0,0,12726.361734866063,,56140.57202106257,0.48918624610776307,AI Infrastructure,API-first,Cloud,False,20.0,50.16874128876964,2,6.1,745,3,0.0,0.062,2.08,7662.3673862731775,,76.0,Both,110.9,15
AI-0010,AIGen,China,Shanghai,2025,Series B,22612285.29269277,4,217594038.52047345,2292340.968465971,1833872.7747727768,-0.2,Data/MLOps,API-first,Cloud,False,215.0,72.54393904363005,2,7.3,932161,76,49.9,0.093,2.071,28553.482138889914,48.0,72.3,SMB,44.2,25
AI-0011,AIEdge,China,Hangzhou,2025,Series A,6394588.073655684,3,39045075.57202693,317240.6098569626,343791.3216808199,0.08369266417634409,Decision/MLOps,API-first,On-premise,False,48.0,61.98553861716048,2,6.5,7035,14,5.2,0.05,2.31,5238.388373996441,48.0,69.9,SMB,25.9,85
AI-0012,AINest,United Kingdom,London,2025,Series A,3113913.1940336563,2,15039508.587483574,934173.9582100968,1122591.5201714416,0.2016942993383782,AI Infrastructure,Platform,Cloud,False,57.0,44.50700737962614,2,3.0,26501,60,29.4,0.049,1.89,,48.0,75.4,Enterprise,119.3,74
AI-0013,AIGrid,United States,San Francisco,2020,Series A,5996759.203780322,3,45407636.98968955,531443.5772859744,581839.6832155699,0.09482870446372324,AI Infrastructure,API-first,Cloud,False,35.0,57.358575478910204,1,4.5,1290,36,62.7,0.026,1.994,6137.810399857827,48.0,66.9,Enterprise,117.5,86
AI-0014,AIMesh,United States,Austin,2021,Series A,4435956.769249101,3,54586663.95390454,1003581.2801899851,1499115.492048762,0.4937658978303868,Data/MLOps,Platform,Cloud,False,36.0,57.80811202591899,1,7.7,126565,43,67.5,0.037,2.005,24409.969536810673,48.0,68.1,Both,8.3,83
